name,Age,team,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,ERA,WHIP,BABIP,K_per_9,pitcher_id,season
Vince Velasquez,31,Pittsburgh,8,8,4.0,4.0,,37.1,35,16,16,14,37,4,3.86,1.313,0.295,8.9,592826,2023
Anthony Veneziano,25,Kansas City,2,0,,,,2.1,2,2,0,2,1,0,0.0,1.714,0.222,3.9,685107,2023
Drew VerHagen,32,St. Louis,60,0,5.0,1.0,,61.0,52,30,27,26,60,9,3.98,1.279,0.262,8.9,572403,2023
Justin Verlander,40,"Houston,New York",30,30,14.0,9.0,,180.2,155,69,64,51,158,21,3.19,1.14,0.264,7.9,434378,2023
Alex Vesia,27,Los Angeles,58,1,2.0,5.0,1.0,51.2,53,28,25,17,66,8,4.35,1.355,0.344,11.5,681911,2023
Nick Vespi,27,Baltimore,9,0,1.0,,,14.2,16,7,7,2,9,2,4.3,1.227,0.311,5.5,663989,2023
Will Vest,28,Detroit,48,4,2.0,1.0,2.0,48.1,40,18,16,13,56,3,2.98,1.097,0.294,10.4,676684,2023
Thyago Vieira,30,Milwaukee,2,0,,1.0,,3.0,0,1,0,1,2,0,0.0,0.333,0.0,6.0,600986,2023
David Villar,26,San Francisco,1,0,,,,1.0,0,0,0,1,0,0,0.0,1.0,0.0,0.0,681584,2023
Darius Vines,25,Atlanta,5,2,1.0,,,20.1,15,10,9,7,14,3,3.98,1.082,0.203,6.2,670241,2023
Victor Vodnik,23,Colorado,6,0,1.0,,,8.2,15,9,8,3,12,0,8.31,2.077,0.517,12.5,680767,2023
Jason Vosler,29,Cincinnati,2,0,,,,2.0,5,1,1,0,0,0,4.5,2.5,0.455,0.0,613564,2023
Austin Voth,31,Baltimore,25,0,1.0,2.0,,34.2,39,22,20,15,34,6,5.19,1.558,0.327,8.8,608723,2023
Michael Wacha,31,San Diego,24,24,14.0,4.0,,134.1,113,49,48,43,124,15,3.22,1.161,0.266,8.3,608379,2023
Adam Wainwright,41,St. Louis,21,21,5.0,11.0,,101.0,151,89,83,41,55,20,7.4,1.901,0.359,4.9,425794,2023
Cole Waites,25,San Francisco,3,0,,,,2.1,6,5,4,2,2,0,15.43,3.429,0.545,7.7,686972,2023
Ken Waldichuk,25,Oakland,35,22,4.0,9.0,1.0,141.0,149,93,84,71,132,24,5.36,1.56,0.313,8.4,686610,2023
Matt Waldron,26,San Diego,8,6,1.0,3.0,,41.1,39,20,20,12,31,9,4.35,1.234,0.248,6.8,663362,2023
Josh Walker,28,New York,14,0,,1.0,,10.0,12,11,9,6,12,2,8.1,1.8,0.357,10.8,677020,2023
Ryan Walker,27,San Francisco,49,13,5.0,3.0,1.0,61.1,61,25,22,24,78,8,3.23,1.386,0.356,11.4,676254,2023
Taijuan Walker,30,Philadelphia,31,31,15.0,6.0,,172.2,155,87,84,71,138,20,4.38,1.309,0.273,7.2,592836,2023
Brandon Walter,26,Boston,9,0,,,1.0,23.0,32,17,16,7,16,3,6.26,1.696,0.367,6.3,687888,2023
Andrew Wantz,27,Los Angeles,27,3,2.0,,,39.1,28,18,17,15,33,4,3.89,1.093,0.224,7.6,681806,2023
Thaddeus Ward,26,Washington,26,0,,,,35.1,29,26,25,28,30,7,6.37,1.613,0.237,7.6,663658,2023
Austin Warren,27,Los Angeles,2,0,1.0,,,1.2,2,1,1,0,2,1,5.4,1.2,0.333,10.8,681810,2023
Spenser Watkins,30,Oakland,1,1,,1.0,,4.1,7,5,5,2,4,2,10.38,2.077,0.385,8.3,657093,2023
Ryan Weathers,23,"Miami,San Diego",15,12,1.0,8.0,,57.2,68,44,42,29,43,12,6.55,1.682,0.327,6.7,677960,2023
Luke Weaver,29,"Cincinnati,New York,Seattle",29,25,3.0,6.0,,123.2,155,90,88,40,109,29,6.4,1.577,0.331,7.9,596133,2023
Jacob Webb,29,"Baltimore,Los Angeles",56,0,1.0,1.0,1.0,55.2,41,24,24,31,58,8,3.88,1.293,0.237,9.4,657097,2023
Logan Webb,26,San Francisco,33,33,11.0,13.0,,216.0,201,83,78,31,194,20,3.25,1.074,0.303,8.1,657277,2023
Ryan Weber,32,New York,8,0,1.0,,1.0,14.1,17,5,5,1,7,2,3.14,1.256,0.306,4.4,543901,2023
Jordan Weems,30,Washington,51,0,5.0,1.0,,54.2,38,25,22,28,60,9,3.62,1.207,0.223,9.9,607179,2023
Zack Weiss,31,"Boston,Los Angeles",12,0,1.0,,,14.0,9,6,5,6,15,4,3.21,1.071,0.156,9.6,592848,2023
Greg Weissert,28,New York,17,0,,,,20.0,21,9,9,8,22,3,4.05,1.45,0.346,9.9,669711,2023
Tyler Wells,28,Baltimore,28,20,7.0,6.0,1.0,122.0,84,50,48,34,120,25,3.54,0.967,0.198,8.9,669330,2023
Joey Wentz,25,Detroit,25,19,3.0,13.0,,105.2,131,87,81,47,98,25,6.9,1.685,0.329,8.3,666214,2023
Hayden Wesneski,25,Chicago,34,11,3.0,5.0,,89.1,82,50,46,32,83,20,4.63,1.276,0.261,8.4,669713,2023
Zack Wheeler,33,Philadelphia,37,36,16.0,6.0,,219.2,185,89,83,42,247,23,3.4,1.033,0.285,10.1,554430,2023
Brendan White,24,Detroit,33,2,2.0,3.0,,40.2,40,25,23,15,44,4,5.09,1.352,0.333,9.7,686839,2023
Mitch White,28,Toronto,10,0,,1.0,,12.2,15,11,10,7,13,2,7.11,1.737,0.342,9.2,669952,2023
Owen White,23,Texas,2,0,,1.0,,4.0,5,5,5,2,4,2,11.25,1.75,0.3,9.0,669391,2023
Garrett Whitlock,27,Boston,22,10,5.0,5.0,1.0,71.2,82,43,41,13,72,13,5.15,1.326,0.342,9.0,676477,2023
Jordan Wicks,23,Chicago,7,7,4.0,1.0,,34.2,33,17,17,11,24,5,4.41,1.269,0.269,6.2,696136,2023
Devin Williams,28,Milwaukee,62,0,8.0,3.0,36.0,59.1,27,15,12,31,88,4,1.82,0.978,0.205,13.3,642207,2023
Gavin Williams,23,Cleveland,16,16,3.0,5.0,,82.0,66,32,30,37,81,8,3.29,1.256,0.27,8.9,668909,2023
Luke Williams,26,Los Angeles,1,0,,,,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,663897,2023
Trevor Williams,31,Washington,30,30,6.0,10.0,,144.1,178,97,89,53,111,34,5.55,1.6,0.316,6.9,592866,2023
Brandon Williamson,25,Cincinnati,23,23,5.0,5.0,,117.0,111,63,58,39,98,18,4.46,1.282,0.28,7.5,682227,2023
Amos Willingham,24,Washington,18,0,,2.0,,24.1,35,18,18,9,15,8,6.66,1.808,0.325,5.5,686294,2023
Bryse Wilson,25,Milwaukee,54,0,6.0,,3.0,77.0,60,26,22,22,61,9,2.57,1.065,0.235,7.1,669060,2023
Steven Wilson,28,San Diego,52,0,1.0,2.0,,53.0,35,23,23,27,57,7,3.91,1.17,0.224,9.7,621051,2023
Allan Winans,27,Atlanta,6,6,1.0,2.0,,32.1,37,19,19,8,34,5,5.29,1.392,0.348,9.5,642216,2023
